"Date","Price","Open","High","Low","Vol.","Change %"
"07/09/2026","25.10","24.40","25.20","24.35","7.98M","2.87%"
"07/08/2026","24.40","23.85","24.55","23.85","19.04M","2.31%"
"07/07/2026","23.85","23.50","23.95","23.00","14.84M","1.49%"
"07/06/2026","23.50","22.60","23.50","22.95","31.00M","3.98%"
"07/03/2026","22.60","22.00","22.70","22.45","15.33M","2.73%"
"07/02/2026","22.00","22.00","23.00","21.90","29.65M","0.00%"
"07/01/2026","22.00","22.00","22.95","21.90","36.84M","0.00%"
"06/30/2026","22.00","22.80","22.80","21.50","66.56M","-3.93%"
"06/29/2026","22.90","22.95","23.00","22.50","290.03M","-0.22%"
"06/26/2026","22.95","23.00","23.00","22.00","33.22M","-0.22%"
"06/25/2026","23.00","23.00","23.00","22.70","39.05M","0.00%"
"06/24/2026","23.00","23.00","23.45","22.80","36.08M","0.00%"
"06/23/2026","23.00","22.80","23.00","22.80","30.71M","0.88%"
"06/22/2026","22.80","22.80","23.00","22.00","39.43M","0.00%"
"06/19/2026","22.80","23.00","23.10","22.75","64.97M","-0.87%"
"06/18/2026","23.00","23.50","24.50","23.00","109.65M","-2.13%"
"06/17/2026","23.50","24.00","24.10","23.50","130.26M","-1.88%"
"06/16/2026","23.95","24.35","24.75","23.95","28.76M","-1.84%"
"06/15/2026","24.40","24.70","24.80","24.00","28.84M","-1.21%"
"06/11/2026","24.70","25.00","25.30","24.00","579.82M","-1.20%"
"06/10/2026","25.00","25.00","26.00","24.85","49.54M","0.00%"
"06/09/2026","25.00","24.50","25.20","24.55","27.32M","2.04%"
"06/08/2026","24.50","25.00","24.95","24.10","20.78M","-2.00%"
"06/05/2026","25.00","24.00","25.00","23.50","44.79M","4.17%"
"06/04/2026","24.00","24.00","24.00","23.50","109.72M","0.00%"
"06/03/2026","24.00","24.00","24.00","23.50","76.69M","0.00%"
"06/02/2026","24.00","24.00","24.30","23.50","113.10M","0.00%"
"06/01/2026","24.00","24.00","24.85","24.00","130.26M","-0.21%"
"05/29/2026","24.05","24.60","24.70","24.00","133.28M","-2.24%"
"05/26/2026","24.60","25.00","24.90","24.20","80.61M","-1.60%"
"05/25/2026","25.00","24.95","25.00","24.50","61.29M","0.20%"
"05/22/2026","24.95","25.00","25.30","24.60","69.67M","-1.38%"
"05/21/2026","25.30","25.30","25.65","25.10","52.23M","0.00%"
"05/20/2026","25.30","25.40","25.75","25.20","55.96M","-0.39%"
"05/19/2026","25.40","25.70","25.80","25.35","88.41M","-1.17%"
"05/18/2026","25.70","25.75","25.95","25.45","42.26M","-0.19%"
"05/15/2026","25.75","25.00","25.90","25.10","51.83M","3.00%"
"05/14/2026","25.00","25.30","25.75","25.00","50.33M","-1.19%"
"05/13/2026","25.30","25.60","26.00","25.30","172.80M","-1.17%"
"05/12/2026","25.60","24.10","26.00","24.15","114.76M","6.22%"
"05/11/2026","24.10","23.60","25.00","23.50","172.27M","2.12%"
"05/08/2026","23.60","23.45","24.20","23.00","104.43M","0.64%"
"05/07/2026","23.45","24.70","24.70","23.20","140.37M","-5.06%"
"05/06/2026","24.70","25.00","25.30","24.55","85.42M","-1.20%"
"05/05/2026","25.00","25.50","25.80","25.00","81.77M","-1.96%"
"05/04/2026","25.50","26.05","26.30","25.00","204.01M","-5.56%"
"04/30/2026","27.00","25.90","27.00","25.75","934.96M","3.85%"
"04/29/2026","26.00","26.00","26.15","25.75","281.31M","0.19%"
"04/28/2026","25.95","26.10","28.00","25.95","243.41M","-7.98%"
"04/27/2026","28.20","28.20","28.20","28.20","39.13M","-9.90%"
"04/24/2026","31.30","32.00","31.95","29.60","75.62M","-2.19%"
"04/23/2026","32.00","30.95","32.00","30.95","39.51M","3.23%"
"04/22/2026","31.00","29.95","32.00","30.20","52.43M","3.51%"
"04/21/2026","29.95","34.50","36.00","29.60","110.81M","-8.83%"
"04/20/2026","32.85","29.90","32.85","30.00","91.65M","9.87%"
"04/17/2026","29.90","27.20","29.90","27.20","90.26M","9.93%"
"04/16/2026","27.20","26.45","27.20","26.30","42.76M","3.03%"
"04/15/2026","26.40","26.45","26.60","26.00","38.14M","-0.19%"
"04/14/2026","26.45","25.90","26.45","25.45","67.53M","4.13%"
"04/13/2026","25.40","26.00","26.00","25.40","54.91M","-2.31%"
"04/10/2026","26.00","26.00","26.35","25.90","52.70M","0.00%"
"04/09/2026","26.00","26.00","26.20","25.95","121.70M","0.00%"
"04/08/2026","26.00","26.00","27.00","25.95","232.98M","0.00%"
"04/07/2026","26.00","26.00","26.00","25.00","125.17M","0.19%"
"04/06/2026","25.95","26.00","25.95","25.95","35.25M","0.00%"
"04/02/2026","25.95","26.00","26.40","25.85","35.25M","-0.19%"
"04/01/2026","26.00","26.00","26.10","25.95","62.89M","0.58%"
"03/31/2026","25.85","26.00","26.00","25.85","27.77M","-0.58%"
"03/30/2026","26.00","26.00","26.00","25.80","86.64M","0.00%"
"03/27/2026","26.00","26.00","26.10","25.85","29.43M","0.00%"
"03/26/2026","26.00","26.05","26.05","25.80","134.59M","-0.19%"
"03/25/2026","26.05","26.00","26.25","26.00","42.77M","0.19%"
"03/24/2026","26.00","26.00","26.40","25.95","83.68M","0.39%"
"03/23/2026","25.90","25.70","26.10","25.70","54.75M","0.78%"
"03/18/2026","25.70","26.00","26.00","25.55","61.45M","-1.15%"
"03/17/2026","26.00","25.30","26.30","25.40","123.85M","2.77%"
"03/16/2026","25.30","24.90","25.35","24.90","69.86M","1.61%"
"03/13/2026","24.90","24.90","25.00","24.90","67.17M","0.00%"
